Wed Jun 14 19:29:07 2023
     Time    Values
 0.000000  0.000000
 0.000000  0.000000
 0.062500  0.062459
 0.125000  0.124675
 0.187500  0.186403
 0.250000  0.247404
 0.296875  0.292533
 0.359375  0.351689
 0.421875  0.409472
 0.468750  0.451771
 0.515625  0.493079
 0.578125  0.546455
 0.640625  0.597697
 0.703125  0.646605
 0.765625  0.692988
 0.859375  0.757435
 0.953125  0.815229
 1.015625  0.849810
 1.078125  0.881073
 1.156250  0.915299
 1.234375  0.943942
 1.312500  0.966827
 1.390625  0.983813
 1.468750  0.994798
 1.515625  0.998478
 1.562500  0.999966
 1.640625  0.997563
 1.687500  0.993198
 1.765625  0.981081
 1.812500  0.970932
 1.875000  0.954086
 1.937500  0.933514
 2.000000  0.909297
 2.078125  0.874045
 2.140625  0.841993
 2.187500  0.815789
 2.234375  0.787793
 2.281250  0.758066
 2.328125  0.726674
 2.375000  0.693685
 2.437500  0.647343
 2.500000  0.598472
 2.546875  0.560275
 2.593750  0.520847
 2.656250  0.466511
 2.718750  0.410354
 2.765625  0.367173
 2.812500  0.323185
 2.875000  0.263446
 2.921875  0.217954
 2.968750  0.171983
 3.015625  0.125635
 3.078125  0.063425
 3.125000  0.016592
 3.187500 -0.045891
 3.250000 -0.108195
 3.312500 -0.170077
 3.359375 -0.216065
 3.406250 -0.261579
 3.468750 -0.321352
 3.515625 -0.365372
 3.578125 -0.422800
 3.640625 -0.478576
 3.703125 -0.532484
 3.750000 -0.571561
 3.812500 -0.621697
 3.890625 -0.680930
 3.984375 -0.746497
 4.078125 -0.805508
 4.218750 -0.880614
 4.296875 -0.914909
 4.375000 -0.943622
 4.453125 -0.966579
 4.515625 -0.980704
 4.593750 -0.992971
 4.656250 -0.998425
 4.750000 -0.999293
 4.828125 -0.993310
 4.890625 -0.984158
 4.968750 -0.967319
 5.078125 -0.933861
 5.171875 -0.896281
 5.234375 -0.866831
 5.296875 -0.833996
 5.359375 -0.797904
 5.406250 -0.768783
 5.468750 -0.727338
 5.531250 -0.683054
 5.578125 -0.648080
 5.640625 -0.599247
 5.687500 -0.561076
 5.734375 -0.521673
 5.781250 -0.481123
 5.843750 -0.425428
 5.890625 -0.382555
 5.937500 -0.338842
 6.000000 -0.279415
 6.062500 -0.218898
 6.125000 -0.157526
 6.187500 -0.095539
 6.250000 -0.033179
 6.296875  0.013689
 6.343750  0.060528
 6.390625  0.107233
 6.453125  0.169123
 6.515625  0.230352
 6.562500  0.275697
 6.609375  0.320436
 6.656250  0.364471
 6.703125  0.407705
 6.750000  0.450044
 6.796875  0.491394
 6.859375  0.544833
 6.937500  0.608616
 7.000000  0.656987
 7.062500  0.702792
 7.125000  0.745853
 7.187500  0.786002
 7.234375  0.814107
 7.281250  0.840424
 7.343750  0.872631
 7.406250  0.901431
 7.468750  0.926711
 7.531250  0.948373
 7.593750  0.966330
 7.656250  0.980515
 7.718750  0.990870
 7.781250  0.997356
 7.843750  0.999948
 7.921875  0.997696
 7.984375  0.991511
 8.046875  0.981454
 8.156250  0.954664
 8.218750  0.934206
 8.281250  0.910101
 8.343750  0.882442
 8.406250  0.851337
 8.468750  0.816907
 8.531250  0.779287
 8.578125  0.749067
 8.625000  0.717201
 8.671875  0.683760
 8.718750  0.648816
 8.765625  0.612447
 8.859375  0.535756
 8.921875  0.481971
 8.968750  0.440385
 9.015625  0.397832
 9.078125  0.339752
 9.140625  0.280344
 9.203125  0.219842
 9.281250  0.143036
 9.343750  0.080939
 9.406250  0.018527
 9.468750 -0.043958
 9.546875 -0.121794
 9.640625 -0.214175
 9.703125 -0.274767
 9.765625 -0.334286
 9.812500 -0.378081
 9.859375 -0.421045
 9.906250 -0.463084
 9.953125 -0.504106
10.015625 -0.557065
Wed Jun 14 19:29:35 2023
     Time    Values
 0.000000  0.000000
 0.000000  0.000000
 0.093750  0.093613
 0.171875  0.171030
 0.281250  0.277557
 0.343750  0.337020
 0.421875  0.409472
 0.500000  0.479426
 0.578125  0.546455
 0.656250  0.610150
 0.718750  0.658444
 0.796875  0.715175
 0.906250  0.787197
 1.000000  0.841471
 1.093750  0.888355
 1.187500  0.927437
 1.234375  0.943942
 1.281250  0.958374
 1.328125  0.970700
 1.375000  0.980893
 1.421875  0.988932
 1.468750  0.994798
 1.515625  0.998478
 1.562500  0.999966
 1.609375  0.999256
 1.671875  0.994896
 1.734375  0.986651
 1.781250  0.977936
 1.843750  0.962979
 1.906250  0.944261
 1.953125  0.927798
 2.015625  0.902684
 2.062500  0.881530
 2.109375  0.858439
 2.171875  0.824726
 2.218750  0.797321
 2.265625  0.768163
 2.312500  0.737319
 2.359375  0.704854
 2.406250  0.670841
 2.468750  0.623212
 2.515625  0.585882
 2.562500  0.547265
 2.625000  0.493920
 2.671875  0.452635
 2.718750  0.410354
 2.765625  0.367173
 2.812500  0.323185
 2.859375  0.278486
 2.906250  0.233176
 2.953125  0.187354
 3.000000  0.141120
 3.046875  0.094576
 3.093750  0.047824
 3.140625  0.000968
 3.187500 -0.045891
 3.234375 -0.092649
 3.281250 -0.139204
 3.328125 -0.185453
 3.375000 -0.231294
 3.437500 -0.291608
 3.484375 -0.336109
 3.531250 -0.379871
 3.578125 -0.422800
 3.625000 -0.464799
 3.687500 -0.519194
 3.750000 -0.571561
 3.812500 -0.621697
 3.875000 -0.669405
 3.921875 -0.703480
 3.984375 -0.746497
 4.046875 -0.786600
 4.109375 -0.823630
 4.171875 -0.857444
 4.218750 -0.880614
 4.281250 -0.908490
 4.343750 -0.932819
 4.406250 -0.953504
 4.453125 -0.966579
 4.500000 -0.977530
 4.546875 -0.986334
 4.609375 -0.994699
 4.656250 -0.998425
 4.703125 -0.999957
 4.734375 -0.999758
 4.781250 -0.997630
 4.828125 -0.993310
 4.875000 -0.986808
 4.937500 -0.974769
 4.984375 -0.963239
 5.031250 -0.949593
 5.078125 -0.933861
 5.125000 -0.916077
 5.187500 -0.889242
 5.250000 -0.858934
 5.312500 -0.825273
 5.375000 -0.788389
 5.421875 -0.758697
 5.468750 -0.727338
 5.515625 -0.694382
 5.578125 -0.648080
 5.625000 -0.611682
 5.687500 -0.561076
 5.734375 -0.521673
 5.781250 -0.481123
 5.843750 -0.425428
 5.906250 -0.368073
 5.968750 -0.309280
 6.031250 -0.249279
 6.078125 -0.203626
 6.125000 -0.157526
 6.187500 -0.095539
 6.234375 -0.048791
 6.281250 -0.001935
 6.328125  0.044925
 6.390625  0.107233
 6.453125  0.169123
